age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
59.0,Federal-gov,98984,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
24.0,Private,160261,Some-college,10,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,64.0,?,<=50K
23.0,Self-emp-inc,39844,HS-grad,9,Never-married,,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
28.0,Private,249720,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,<=50K
49.0,Private,31339,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
48.0,Private,118889,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2885,0,15.0,United-States,<=50K
48.0,Private,219565,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,,<=50K
28.0,Private,22422,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
23.0,Federal-gov,350680,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,White,Female,0,0,40.0,Poland,<=50K
27.0,Private,262723,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Male,0,0,40.0,United-States,<=50K
22.0,Private,60668,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40.0,,<=50K
34.0,Private,219619,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,,United-States,<=50K
29.0,Private,138537,Assoc-voc,11,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,40.0,Laos,<=50K
20.0,Private,166527,Some-college,10,Never-married,,Own-child,Other,Female,0,0,20.0,,<=50K
28.0,Self-emp-not-inc,182826,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35.0,United-States,<=50K
34.0,Private,127195,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,<=50K
43.0,Private,412379,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,28.0,United-States,<=50K
,Self-emp-not-inc,325159,Some-college,10,Divorced,Farming-fishing,Unmarried,White,Male,0,0,40.0,United-States,<=50K
23.0,Private,278391,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40.0,United-States,<=50K
26.0,Private,61270,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Other,Female,0,0,40.0,Columbia,<=50K
32.0,Private,372317,9th,5,Separated,Other-service,Unmarried,White,Female,0,0,23.0,Mexico,<=50K
26.0,Private,71009,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40.0,Philippines,<=50K
46.0,Private,165346,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,8.0,,<=50K
42.0,Private,115178,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,15.0,United-States,<=50K
22.0,Private,192017,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40.0,United-States,<=50K
24.0,State-gov,275421,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,,United-States,<=50K
21.0,Private,165107,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20.0,United-States,<=50K
